addressRegion,companyId,companyName,companyRepresentativeImage,endedAt,id,isBookmarked,isPartner,jobLevel,jobLevels,jobSkillKeywords,joinReward,partnerLogo,startedAt,status_code,status_name,title,url
GANGNAM,1364,컬리,https://cdn.rallit.com/image/2025-05-21/dS2SrXoqUbZ5n2s3wre6_.jpg,2025-06-08,3518,False,False,IRRELEVANT,SENIOR,"Java, Kotlin, JPA, Spring Boot, ChatGPT",300,,2025-05-22,HIRING,모집 중,[컬리 10주년 테크 대규모채용] 풀필먼트 백엔드 개발,https://www.rallit.com/positions/3518
ETC,1108,(주)유니드,https://cdn.rallit.com/image/2024-10-15/Tl1BUBIDPHlseqjZrKAnG.jpg,9999-12-31,3022,False,False,MIDDLE,MIDDLE,"Vue.js, Flutter, Python, PHP, MySQL, Java",0,,1970-01-01,HIRING,모집 중,"프론트엔드/백엔드 개발자(Vue, Python, Java) ",https://www.rallit.com/positions/3022
SEOUL,655,마카롱팩토리,https://cdn.rallit.com/image/2025-05-20/aGuul3ASND0ei55hvdSMU.png,9999-12-31,3502,False,False,MIDDLE,"JUNIOR, MIDDLE",QA(품질보증),0,,1970-01-01,HIRING,모집 중,차량관리 1위 앱 '마이클' QA 엔지니어 (2년 이상),https://www.rallit.com/positions/3502
GANGNAM,120,(주)오메타,https://cdn.rallit.com/image/2022-03-16/n2j5lJXxDCwR2OZPeTie1.png,9999-12-31,1746,False,False,IRRELEVANT,IRRELEVANT,"iOS, Swift, Java, MVC",0,,1970-01-01,HIRING,모집 중,iOS 개발자,https://www.rallit.com/positions/1746
GANGNAM,1364,컬리,https://cdn.rallit.com/image/2025-05-21/dS2SrXoqUbZ5n2s3wre6_.jpg,2025-06-08,3521,False,False,IRRELEVANT,SENIOR,"React, Redux, TypeScript, ChatGPT",300,,2025-05-21,HIRING,모집 중,[컬리 10주년 테크 대규모채용] 풀필먼트 프론트엔드 개발,https://www.rallit.com/positions/3521
SEOUL,83,씨드앤,https://cdn.rallit.com/image/2023-06-26/Zqs-F96vrk9lp9-i-r-al.jpg,2025-06-09,3484,False,False,IRRELEVANT,MIDDLE,"JavaScript, Java, Next.js, NestJS, express.js",0,,2025-05-19,HIRING,모집 중,백엔드 개발자 (5년 이상),https://www.rallit.com/positions/3484
ETC,513,데이터메이커,https://cdn.rallit.com/image/2023-05-18/qcKAFUojCBEbTOHhL_5QS.jpg,9999-12-31,1556,False,False,MIDDLE,MIDDLE,"JavaScript, ES6, Rust, Vue.js, Nuxt.js, Three.js, Github, Notion, Jetbrains, ChatGPT",0,,1970-01-01,HIRING,모집 중,프론트엔드 개발자,https://www.rallit.com/positions/1556
GANGNAM,1092,주식회사 페칭,https://cdn.rallit.com/image/2024-09-23/MyTeAd_KA0HLfF1rKGaW-.jpg,9999-12-31,3005,False,False,IRRELEVANT,IRRELEVANT,"Node.js, TypeScript, NestJS, MySQL, aws-rds, rabbitmq, Next.js, React Native",0,,1970-01-01,HIRING,모집 중,[페칭] 패션 플랫폼 Node.js 백엔드 개발자 경력직,https://www.rallit.com/positions/3005
ETC,1287,(주)에스아이에이,https://cdn.rallit.com/image/2025-03-05/wnRhYZLHNak5uVEf_igJb.png,9999-12-31,3311,False,False,IRRELEVANT,MIDDLE,"Terraform, helm, Kubernetes, eks, AWS, Google Cloud Platform, PostgreSQL, Redis, github-actions",0,,1970-01-01,HIRING,모집 중,DevOps Engineer (3년 이상),https://www.rallit.com/positions/3311
GANGNAM,1325,고위드,https://cdn.rallit.com/image/2025-04-22/_UGzMviNRj1oF0xrhpInj.png,9999-12-31,3401,False,False,IRRELEVANT,MIDDLE,"Spring Boot, JavaScript, TypeScript, React, MySQL",0,,1970-01-01,HIRING,모집 중,Backend Engineer (백엔드 개발자),https://www.rallit.com/positions/3401
GANGNAM,892,세컨신드롬,https://cdn.rallit.com/image/2024-03-18/KKK2FH4g9MA481cBVdWE_.png,9999-12-31,3511,False,False,IRRELEVANT,"SENIOR, TOP","AWS, Kotlin, Python, Spring Boot, Flask, FastAPI, Java, React, Angular",0,,1970-01-01,HIRING,모집 중,테크 리드,https://www.rallit.com/positions/3511
GANGNAM,944,한국딥러닝,https://cdn.rallit.com/image/2024-04-05/HEnEbPXZFXi-AlcVeo2sa.jpg,9999-12-31,3497,False,False,IRRELEVANT,MIDDLE,"Java, Spring Boot, SQL, NoSQL, MongoDB, PostgreSQL, DDD, Linux",50,,1970-01-01,HIRING,모집 중,백엔드 엔지니어,https://www.rallit.com/positions/3497
GURO_GASAN,1311,에듀클라우드,https://cdn.rallit.com/image/2025-04-07/g2yMhTbLu4gVtxHKCdF3m.png,9999-12-31,3377,False,False,IRRELEVANT,MIDDLE,"React Native, Flutter, expo, Figma, AWS, Docker",0,,1970-01-01,HIRING,모집 중,[에듀클라우드] 풀스택 개발자 경력직(5년 이상) 채용,https://www.rallit.com/positions/3377
